id,date_created,catalog_product_id,domain_id,name,main_features,quality_type,priority,type,keywords,description
MLB36333923,2024-04-30T07:10:59Z,MLB36333923,MLB-REFRIGERATORS,Geladeira Portátil Automotiva Cfx335 E,[],COMPLETE,MEDIUM,PRODUCT,Geladeira Portátil Automotiva Cfx335 E,
MLB36139109,2024-04-24T00:05:50Z,MLB36139109,MLB-REFRIGERATORS,Geladeira Portátil Automotiva Cfx345 12v/24v,[],COMPLETE,MEDIUM,PRODUCT,Geladeira Portátil Automotiva Cfx345 12v/24v,
MLB21345002,2023-01-25T11:36:55Z,MLB21345002,MLB-REFRIGERATORS,Geladeira LG LS66sdp No Frost 617lt,[],COMPLETE,MEDIUM,PRODUCT,Geladeira LG LS66sdp No Frost 617lt,
MLB38703841,2024-07-29T00:19:00Z,MLB38703841,MLB-REFRIGERATORS,Geladeira Duplex Inverse Evolution Smartthings Samsung Rb50,[],COMPLETE,MEDIUM,PRODUCT,Geladeira Duplex Inverse Evolution Smartthings Samsung Rb50,
MLB36398531,2024-04-30T22:21:23Z,MLB36398531,MLB-REFRIGERATORS,Geladeira Inverter Auto Defrost LG Freezer 451l,[],COMPLETE,MEDIUM,PRODUCT,Geladeira Inverter Auto Defrost LG Freezer 451l,
MLB54448099,2025-09-01T23:27:55Z,MLB54448099,MLB-REFRIGERATORS,"Geladeira Electrolux Multidoor Efficient Com Autosense, Inve",[],COMPLETE,MEDIUM,PRODUCT,"Geladeira Electrolux Multidoor Efficient Com Autosense, Inve",
MLB48677687,2025-04-18T01:03:56Z,MLB48677687,MLB-REFRIGERATORS,Geladeira Inverter Frost Free LG Gr-525l,[],COMPLETE,MEDIUM,PRODUCT,Geladeira Inverter Frost Free LG Gr-525l,
MLB19552926,2022-08-22T14:54:43Z,MLB19552926,MLB-REFRIGERATORS,LG geladeira com freezer inverter GB33WPT preto,[],COMPLETE,MEDIUM,PRODUCT,LG geladeira com freezer inverter GB33WPT preto,
MLB27839322,2023-10-22T16:51:24Z,MLB27839322,MLB-AIR_CONDITIONERS,Ar condicionado de janela inteligente Acekool 6000 BT,[],COMPLETE,MEDIUM,PRODUCT,Ar condicionado de janela inteligente Acekool 6000 BT,
MLB28002506,2023-11-06T19:32:54Z,MLB28002506,MLB-AIR_CONDITIONERS,"Ar condicionado portátil inteligente Midea 3 em 1, Deshumi",[],COMPLETE,MEDIUM,PRODUCT,"Ar condicionado portátil inteligente Midea 3 em 1, Deshumi",
MLB56994543,2025-09-20T05:41:52Z,MLB56994543,MLB-AIR_CONDITIONERS,"Ar condicionado portátil Aaobosi, unidades de ar condicionado portáteis. Cor: branco",[],COMPLETE,MEDIUM,PRODUCT,"Ar condicionado portátil Aaobosi, unidades de ar condicionado portáteis. Cor: branco",
MLB29568434,2024-01-09T02:37:31Z,MLB29568434,MLB-AIR_CONDITIONERS,Ar Condicionado Philco Moderno Quente/ Frio De Parede Cor Ar Condicionado Climatizador Branco,[],COMPLETE,MEDIUM,PRODUCT,Ar Condicionado Philco Moderno Quente/ Frio De Parede Cor Ar Condicionado Climatizador Branco,
MLB26446377,2023-08-23T13:03:30Z,MLB26446377,MLB-AIR_CONDITIONERS,Ar condicionado portátil Serenelife SLPAC105w,[],COMPLETE,MEDIUM,PRODUCT,Ar condicionado portátil Serenelife SLPAC105w,
MLB38750127,2024-07-30T11:37:19Z,MLB38750127,MLB-AIR_CONDITIONERS,Ar condicionado Samsung 18000btu AR18TRHQBurx,[],COMPLETE,MEDIUM,PRODUCT,Ar condicionado Samsung 18000btu AR18TRHQBurx,
MLB54236783,2025-08-30T09:22:15Z,MLB54236783,MLB-AIR_CONDITIONERS,Ar Condicionado Daikin Split Inverter,[],COMPLETE,MEDIUM,PRODUCT,Ar Condicionado Daikin Split Inverter,
MLB41626835,2024-10-06T06:07:51Z,MLB41626835,MLB-AIR_CONDITIONERS,Ar condicionado LG 12000btu branco,[],COMPLETE,MEDIUM,PRODUCT,Ar condicionado LG 12000btu branco,
MLB24455199,2023-07-10T19:25:22Z,MLB24455199,MLB-AIR_CONDITIONERS,Ar Condicionado 24000btus Inverter Britânia,[],COMPLETE,MEDIUM,PRODUCT,Ar Condicionado 24000btus Inverter Britânia,
MLB57356995,2025-09-22T16:52:42Z,MLB57356995,MLB-AIR_CONDITIONERS,Ar condicionado Toyotomi AC-M09fw branco,[],COMPLETE,MEDIUM,PRODUCT,Ar condicionado Toyotomi AC-M09fw branco,
MLB27985244,2023-11-06T18:46:10Z,MLB27985244,MLB-AIR_CONDITIONERS,Eos EAS24000IF ar condicionado branco de,[],COMPLETE,MEDIUM,PRODUCT,Eos EAS24000IF ar condicionado branco de,
MLB28682642,2023-12-06T04:44:04Z,MLB28682642,MLB-AIR_CONDITIONERS,Ar condicionado branco Samsung AR09CVFCMWK/CB,[],COMPLETE,MEDIUM,PRODUCT,Ar condicionado branco Samsung AR09CVFCMWK/CB,
MLB43616708,2024-11-23T16:48:35Z,MLB43616708,MLB-AIR_CONDITIONERS,Philco PAC18FI ar condicionado branco de,[],COMPLETE,MEDIUM,PRODUCT,Philco PAC18FI ar condicionado branco de,
MLB27769043,2023-10-16T16:40:10Z,MLB27769043,MLB-AIR_CONDITIONERS,"Ar-condicionado Split Eos 12000 Btus,",[],COMPLETE,MEDIUM,PRODUCT,"Ar-condicionado Split Eos 12000 Btus,",
MLB34345595,2024-03-13T01:41:57Z,MLB34345595,MLB-AIR_CONDITIONERS,Ar Condicionado Portátil HP Wi-Fi.,[],PRIMITIVE,MEDIUM,PRODUCT,Ar Condicionado Portátil HP Wi-Fi.,
MLB28754492,2023-12-09T20:09:02Z,MLB28754492,MLB-AIR_CONDITIONERS,Ar condicionado Kendal branco I3-ASM09MDS,[],COMPLETE,MEDIUM,PRODUCT,Ar condicionado Kendal branco I3-ASM09MDS,
MLB61666608,2025-11-04T03:42:47Z,MLB61666608,MLB-AIR_CONDITIONERS,Ar condicionado Hisense AW#8209;10CWBRVGU02 branco,[],COMPLETE,MEDIUM,PRODUCT,Ar condicionado Hisense AW#8209;10CWBRVGU02 branco,
MLB40002972,2024-08-30T13:29:57Z,MLB40002972,MLB-AIR_CONDITIONERS,Ar condicionado portátil Hisense 12.000 Btu,[],COMPLETE,MEDIUM,PRODUCT,Ar condicionado portátil Hisense 12.000 Btu,
MLB25735509,2023-08-03T22:20:58Z,MLB25735509,MLB-AIR_CONDITIONERS,Ar condicionado LG Inverter - 18.000 Btu,[],COMPLETE,MEDIUM,PRODUCT,Ar condicionado LG Inverter - 18.000 Btu,
MLB41799760,2024-10-11T11:47:29Z,MLB41799760,MLB-AIR_CONDITIONERS,Ar Condicionado Elgin HJFC18C2WCCC branco 18000BTU,[],COMPLETE,MEDIUM,PRODUCT,Ar Condicionado Elgin HJFC18C2WCCC branco 18000BTU,
