texto,nota,id,data,sentimento,tiposentimento,domain_id
E muito prático. Gostei.,5,MLB36333923,2024-12-13T00:00:00,0.4215,Positivo,MLB-REFRIGERATORS
Ajuda muito em viagens.,5,MLB36333923,2025-01-16T00:00:00,0.3818,Positivo,MLB-REFRIGERATORS
Muito top.,5,MLB36333923,2025-03-29T00:00:00,0.0,Neutro,MLB-REFRIGERATORS
Me atende produto muito bom bom para o que preciso muito satisfeito.,5,MLB36333923,2025-05-08T00:00:00,0.7783,Positivo,MLB-REFRIGERATORS
Gostei muito 👏👏👏👏.,5,MLB36333923,2025-07-24T00:00:00,0.4215,Positivo,MLB-REFRIGERATORS
Toop.,5,MLB36333923,2025-09-02T00:00:00,0.0,Neutro,MLB-REFRIGERATORS
Ótimo produto.,5,MLB36333923,2025-09-22T00:00:00,0.3612,Positivo,MLB-REFRIGERATORS
Melhor tudo de bom compraria novamente.,5,MLB36333923,2025-09-29T00:00:00,0.6908,Positivo,MLB-REFRIGERATORS
Bom.,5,MLB36333923,2025-10-08T00:00:00,0.4215,Positivo,MLB-REFRIGERATORS
"É elogiada por sua praticidade e utilidade em viagens, superando as expectativas de muitos. No entanto, há uma crítica isolada que descreve o produto como péssimo. No geral, é considerada um ótimo produto.",5,MLB36333923,2025-11-20T00:00:00,0.802,Positivo,MLB-REFRIGERATORS
Melhor do o esperado.,5,MLB36333923,2024-10-08T00:00:00,0.4215,Positivo,MLB-REFRIGERATORS
"O ventilador é elogiado por ser silencioso e fácil de instalar, com muitos usuários destacando a rapidez na montagem. A iluminação é considerada excelente, oferecendo três variações de luz, o que é um diferencial apreciado. Além disso, o design leve e estiloso, juntamente com a eficiência em espaços pequenos, são pontos positivos frequentemente mencionados.",5,MLB38532151,2025-11-20T00:00:00,0.967,Positivo,MLB-FANS
É útil,5,MLB38532151,2025-09-22T00:00:00,0.4404,Positivo,MLB-FANS
Excelente produto.,5,MLB32041012,2025-10-05T00:00:00,0.6249,Positivo,MLB-FANS
"O produto me pareceu excelente, depois de usar tive que continuar com o excelente, boa qualidade, e super recomendo.",5,MLB32041012,2025-10-23T00:00:00,0.9552,Positivo,MLB-FANS
"Gostei, ótimo produto.",5,MLB32041012,2025-10-24T00:00:00,0.6486,Positivo,MLB-FANS
Funciona direitinho. Vento potente.,5,MLB32041012,2025-11-22T00:00:00,0.0,Neutro,MLB-FANS
Muito silêncioso recomendo muito.,5,MLB32041012,2025-11-27T00:00:00,0.3612,Positivo,MLB-FANS
"O ventilador é elogiado por sua potência e design atraente, sendo considerado ideal para uso em escritórios. Além disso, destacase por ser silencioso e atender bem às expectativas de desempenho.",5,MLB32041012,2025-11-20T00:00:00,0.8271,Positivo,MLB-FANS
"Produto igual ao anúncio, ele é bem potente, fácil de usar, mais só perde para uma questão a bateria na caixa informar que a após o carregamento a duração varia de 2 a 5 horas, mais na procede mesmo estando carregado e deixado na velocidade 1 só durar uma hora, mais caso tenha um power bank vai funcionar a noite toda outra opção é deixar ele ligado na tomada.",5,MLB32041012,2025-10-11T00:00:00,0.2732,Positivo,MLB-FANS
Ok.,5,MLB45132930,2025-11-02T00:00:00,0.2263,Positivo,MLB-DIGITAL_TEMPERATURE_CONTROLLERS
Top.,5,MLB45132930,2025-11-06T00:00:00,0.0,Neutro,MLB-DIGITAL_TEMPERATURE_CONTROLLERS
Ota:qualidadr.,5,MLB45132930,2025-11-12T00:00:00,0.0,Neutro,MLB-DIGITAL_TEMPERATURE_CONTROLLERS
Produto muito bom.,5,MLB45132930,2025-11-14T00:00:00,0.4215,Positivo,MLB-DIGITAL_TEMPERATURE_CONTROLLERS
Tudo certo.,5,MLB45132930,2025-11-19T00:00:00,0.2732,Positivo,MLB-DIGITAL_TEMPERATURE_CONTROLLERS
"Produto de uso limitado, bem menos funções que o anterior que eu tinha, aplicativo limitado.",3,MLB54439058,2024-06-15T00:00:00,-0.1779,Negativo,MLB-DIGITAL_TEMPERATURE_CONTROLLERS
Bem prático e funcional. Inclui as funções de aquecimento e resfriamento juntas ao mesmo tempo por duas saidas de rele independentes. Bom acabamento e qualidade do material. Fácil de configurar.,5,MLB54439058,2024-05-15T00:00:00,0.8126,Positivo,MLB-DIGITAL_TEMPERATURE_CONTROLLERS
"Top pena q não vende mais, o melhor que já usei agora só compra internacional.",5,MLB54439058,2024-09-14T00:00:00,-0.128,Negativo,MLB-DIGITAL_TEMPERATURE_CONTROLLERS
Recomendo a todos.,5,MLB54439058,2025-06-18T00:00:00,0.3612,Positivo,MLB-DIGITAL_TEMPERATURE_CONTROLLERS
Top.,5,MLB54439058,2025-10-17T00:00:00,0.0,Neutro,MLB-DIGITAL_TEMPERATURE_CONTROLLERS
Veio conforme divulgado.,5,MLB44770764,2025-10-13T00:00:00,0.0,Neutro,MLB-DIGITAL_TEMPERATURE_CONTROLLERS
Top.,5,MLB44770764,2025-11-18T00:00:00,0.0,Neutro,MLB-DIGITAL_TEMPERATURE_CONTROLLERS
Nota 10.,5,MLB32309751,2025-03-21T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Ótimo preço e qualidade.,5,MLB32309751,2025-03-22T00:00:00,0.3612,Positivo,MLB-ELECTRICAL_OUTLETS
"A tomada foi mais complicadinha pra colocar na alexa, mas deu certo.",5,MLB32309751,2025-03-23T00:00:00,0.3919,Positivo,MLB-ELECTRICAL_OUTLETS
O produto cumpre o que promete.,5,MLB32309751,2025-05-01T00:00:00,0.4767,Positivo,MLB-ELECTRICAL_OUTLETS
"Acabei de receber, testei, conectou fácil e rápido. Recomendo!.",5,MLB32309751,2025-06-14T00:00:00,0.6114,Positivo,MLB-ELECTRICAL_OUTLETS
Muito bom recomendo.,5,MLB32309751,2025-06-29T00:00:00,0.6486,Positivo,MLB-ELECTRICAL_OUTLETS
Ainda não utilizei.,5,MLB32309751,2025-07-12T00:00:00,-0.296,Negativo,MLB-ELECTRICAL_OUTLETS
Excelente!.,5,MLB32309751,2025-07-17T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Perfeita.,5,MLB32309751,2025-07-29T00:00:00,0.34,Positivo,MLB-ELECTRICAL_OUTLETS
"Cumpre o que promete, muito bom o produto.",5,MLB32309751,2025-08-25T00:00:00,0.7096,Positivo,MLB-ELECTRICAL_OUTLETS
Melhor aquisição.,5,MLB32309751,2025-10-16T00:00:00,0.4404,Positivo,MLB-ELECTRICAL_OUTLETS
"Não vivo sem, uso para todos equipametos de cada.",5,MLB32309751,2025-10-24T00:00:00,-0.0516,Negativo,MLB-ELECTRICAL_OUTLETS
"É elogiada pela facilidade de instalação e programação do timer. Considerada uma excelente aquisição, muitos planejam adquirir mais unidades.",5,MLB32309751,2025-11-20T00:00:00,0.765,Positivo,MLB-ELECTRICAL_OUTLETS
"Usei para controloar a iluminação do meu aquario. Muito facil de instalar e progromar o timer. Quando cai a luz, ele não desconfigura. Aprovado.",5,MLB32309751,2024-10-02T00:00:00,0.2732,Positivo,MLB-ELECTRICAL_OUTLETS
"O produto é elogiado por sua eficiência, praticidade e fácil conexão com plataformas como Tuya e Google Home. Destacase pela capacidade de monitorar tensão e consumo, além de ser compatível com assistentes virtuais como Alexa. A tomada é considerada excelente para automatização e atende bem às funções exigidas.",5,MLB37231735,2025-11-20T00:00:00,0.8979,Positivo,MLB-ELECTRICAL_OUTLETS
Funcionando perfeitamente com alexa.,5,MLB37231735,2025-11-16T00:00:00,0.6369,Positivo,MLB-ELECTRICAL_OUTLETS
Muito fácil de instalar e funcionalidades espetaculares.,5,MLB25389787,2024-01-16T00:00:00,0.4404,Positivo,MLB-ELECTRICAL_OUTLETS
Bom.,5,MLB25389787,2024-04-08T00:00:00,0.4215,Positivo,MLB-ELECTRICAL_OUTLETS
Produto funciona muito bem.,5,MLB23206980,2025-11-26T00:00:00,0.2732,Positivo,MLB-ELECTRICAL_OUTLETS
"A tomada elétrica é elogiada pela facilidade de programação e integração com assistentes virtuais como Google Home e Alexa, permitindo controle remoto eficiente. Destacase também pela capacidade de economizar energia e pela praticidade em automatizar dispositivos domésticos. Além disso, a instalação e configuração são rápidas e simples, proporcionando uma experiência de uso satisfatória.",5,MLB23206980,2025-11-20T00:00:00,0.7579,Positivo,MLB-ELECTRICAL_OUTLETS
Excelente produto fácil instalação já automatizei meu abajur para ligar e desligar em horários programados.,5,MLB23206980,2023-07-24T00:00:00,0.7506,Positivo,MLB-ELECTRICAL_OUTLETS
Não tem widget on off.,1,MLB22802101,2024-12-16T00:00:00,-0.296,Negativo,MLB-ELECTRICAL_OUTLETS
Ótimo produto. Funciona como o esperado. A medição de consumo é um extra muito bem vindo. Uso para automatizar um ar condicionado de janela.,5,MLB22802101,2022-12-27T00:00:00,0.4404,Positivo,MLB-ELECTRICAL_OUTLETS
Produto muito bom recomendo a todos.,5,MLB22802101,2023-06-17T00:00:00,0.6486,Positivo,MLB-ELECTRICAL_OUTLETS
"Perfeito, atende muito bem.",4,MLB22802101,2023-10-31T00:00:00,0.5267,Positivo,MLB-ELECTRICAL_OUTLETS
Atendeu perfeitamente as necessidades.,5,MLB22802101,2025-06-22T00:00:00,0.6369,Positivo,MLB-ELECTRICAL_OUTLETS
"Excelente tomada, está funcionando perfeitamente no hut intelbras iac 1001, no app izy smart.",5,MLB39117794,2025-05-01T00:00:00,0.8519,Positivo,MLB-ELECTRICAL_OUTLETS
Excelente.,5,MLB22969726,2024-08-06T00:00:00,0.6249,Positivo,MLB-ELECTRICAL_OUTLETS
Show.,5,MLB22969726,2024-10-17T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Funciona muito bem.,5,MLB22969726,2024-11-25T00:00:00,0.2732,Positivo,MLB-ELECTRICAL_OUTLETS
Muito bom.,5,MLB22969726,2024-12-03T00:00:00,0.4215,Positivo,MLB-ELECTRICAL_OUTLETS
Ótimo e fácil instalação.,5,MLB22969726,2024-12-18T00:00:00,0.6597,Positivo,MLB-ELECTRICAL_OUTLETS
"Perfeito, ótima qualidade.",5,MLB22969726,2025-04-15T00:00:00,0.3182,Positivo,MLB-ELECTRICAL_OUTLETS
Fuinciona bem.,5,MLB22969726,2025-10-06T00:00:00,0.2732,Positivo,MLB-ELECTRICAL_OUTLETS
Ótimo.,5,MLB22969726,2025-10-16T00:00:00,0.3612,Positivo,MLB-ELECTRICAL_OUTLETS
Muito boa.,5,MLB22969726,2025-11-26T00:00:00,0.4404,Positivo,MLB-ELECTRICAL_OUTLETS
A tomada elétrica é elogiada pela sua ótima qualidade e facilidade de instalação. Os testes realizados indicam que o produto funciona perfeitamente. A satisfação geral com o produto é destacada.,5,MLB22969726,2025-11-20T00:00:00,0.8481,Positivo,MLB-ELECTRICAL_OUTLETS
"Tomada é boa, funciona com o aplicativo para desligar e ligar à distância. Porém a função de consumo de energia no aplicativo não está funcionando. Até o momento não foi feito nenhuma leitura de consumo. De resto, está ok!.",4,MLB22969726,2025-05-24T00:00:00,0.1007,Positivo,MLB-ELECTRICAL_OUTLETS
Muito bom.,5,MLB26871392,2024-06-08T00:00:00,0.4215,Positivo,MLB-ELECTRICAL_OUTLETS
Comprei 4. Parece bom.,5,MLB23584161,2025-11-27T00:00:00,0.4215,Positivo,MLB-ELECTRICAL_OUTLETS
Excelente. Cumpre o que promete. Funciona perfeitamente com alexa e é de fácil instalação pelo app.,5,MLB23584161,2025-10-07T00:00:00,0.936,Positivo,MLB-ELECTRICAL_OUTLETS
"Produto muito bom, fácil de instalar e utilizar! atendeu muito bem minhas necessidades.",5,MLB23584161,2025-11-14T00:00:00,0.7959,Positivo,MLB-ELECTRICAL_OUTLETS
"Superou minhas expectativas pois agora programo o horário de minha cafeteira, e qdo levanto, meu café já está pronto. Adorei: recomendo!!!.",5,MLB23584161,2025-05-15T00:00:00,0.5229,Positivo,MLB-ELECTRICAL_OUTLETS
Excelente produto.,5,MLB23584161,2025-11-12T00:00:00,0.6249,Positivo,MLB-ELECTRICAL_OUTLETS
"É elogiada pela fácil instalação e integração eficiente com comandos da Alexa, proporcionando praticidade no uso diário. O produto é considerado confiável, funcionando perfeitamente mesmo após um mês de uso contínuo. Além disso, a conexão com o aplicativo é simples, permitindo programar dispositivos de forma eficaz.",5,MLB23584161,2025-11-20T00:00:00,0.9485,Positivo,MLB-ELECTRICAL_OUTLETS
Ótimo produto recomendo.,5,MLB23584161,2025-01-09T00:00:00,0.6124,Positivo,MLB-ELECTRICAL_OUTLETS
Produto top mesmo.,5,MLB41543740,2025-10-22T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
Excelente e rápido.,5,MLB41543740,2025-11-06T00:00:00,0.7096,Positivo,MLB-ELECTRICAL_OUTLETS
Bom.,5,MLB41543740,2025-11-11T00:00:00,0.4215,Positivo,MLB-ELECTRICAL_OUTLETS
Intelbras não decepciona! top.,5,MLB41543740,2025-11-16T00:00:00,-0.6239,Negativo,MLB-ELECTRICAL_OUTLETS
Muito bom. Recomendo a todos.,5,MLB41543740,2025-11-23T00:00:00,0.6486,Positivo,MLB-ELECTRICAL_OUTLETS
Bom.,5,MLB41543740,2025-11-25T00:00:00,0.4215,Positivo,MLB-ELECTRICAL_OUTLETS
"Muito top, 🔝.",5,MLB41543740,2025-11-27T00:00:00,0.0,Neutro,MLB-ELECTRICAL_OUTLETS
